offline_datapoint_3 1664213792 114,074
offline_datapoint_1 1664213795 21,159
offline_datapoint_0 1664213797 8381325312,000
offline_datapoint_2 1664213795 44,049
offline_datapoint_4 1664213795 4048,978
offline_datapoint_3 1664213795 106,064
offline_datapoint_1 1664213798 21,283
offline_datapoint_0 1664213800 8428056576,000
offline_datapoint_2 1664213798 39,599
offline_datapoint_4 1664213798 4486,099
offline_datapoint_3 1664213798 132,848
offline_datapoint_1 1664213801 21,401
offline_datapoint_0 1664213803 8474652672,000
offline_datapoint_2 1664213801 36,635
offline_datapoint_4 1664213801 3676,390
offline_datapoint_3 1664213801 156,543
offline_datapoint_1 1664213804 21,520
offline_datapoint_0 1664213806 8515260416,000
offline_datapoint_2 1664213804 38,145
offline_datapoint_4 1664213804 4047,783
offline_datapoint_3 1664213804 149,902
offline_datapoint_1 1664213807 21,623
offline_datapoint_0 1664213809 8595693568,000
offline_datapoint_2 1664213807 36,870
offline_datapoint_4 1664213807 3977,860
offline_datapoint_3 1664213807 146,261
offline_datapoint_1 1664213810 21,827
offline_datapoint_0 1664213812 8634826752,000
offline_datapoint_2 1664213810 39,334
offline_datapoint_4 1664213810 5693,922
offline_datapoint_3 1664213810 96,077
offline_datapoint_1 1664213813 21,926
offline_datapoint_0 1664213815 8671674368,000
offline_datapoint_2 1664213813 39,470
offline_datapoint_4 1664213813 11344,920
offline_datapoint_3 1664213813 25,802
offline_datapoint_1 1664213816 22,020
offline_datapoint_0 1664213818 8693293056,000
offline_datapoint_2 1664213816 35,298
offline_datapoint_4 1664213816 10971,839
offline_datapoint_3 1664213816 12,111
offline_datapoint_1 1664213819 22,075
offline_datapoint_0 1664213821 8677814272,000
offline_datapoint_2 1664213819 49,479
offline_datapoint_4 1664213819 6670,766
offline_datapoint_3 1664213819 16,180
offline_datapoint_1 1664213822 22,035
offline_datapoint_0 1664213824 8685608960,000
offline_datapoint_2 1664213822 40,608
offline_datapoint_4 1664213822 6292,967
offline_datapoint_3 1664213822 11,166
offline_datapoint_1 1664213825 22,055
offline_datapoint_0 1664213827 8673492992,000
offline_datapoint_2 1664213825 47,277
offline_datapoint_4 1664213825 2556,953
offline_datapoint_3 1664213825 6,701
offline_datapoint_1 1664213828 22,024
offline_datapoint_0 1664213830 8670334976,000
offline_datapoint_2 1664213828 40,913
offline_datapoint_4 1664213828 2279,278
offline_datapoint_3 1664213828 7,546
offline_datapoint_1 1664213831 22,016
offline_datapoint_0 1664213833 8676519936,000
offline_datapoint_2 1664213831 23,796
offline_datapoint_4 1664213831 1622,086
offline_datapoint_3 1664213831 3,428
offline_datapoint_1 1664213834 22,032
offline_datapoint_0 1664213836 8345849856,000
offline_datapoint_2 1664213834 20,337
offline_datapoint_4 1664213834 1165,072
offline_datapoint_3 1664213834 1,945
offline_datapoint_1 1664213837 21,192
